Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
IC 4182,28.33,0.19,4.63,Cepheids,2003A&A...411..361K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.33,0.13,4.64,Cepheids,2003A&A...411..361K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.34,0.13,4.65,Cepheids,2003A&A...411..361K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.35,0.13,4.67,Cepheids,2003A&A...411..361K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.35,0.06,4.68,Cepheids,2004ApJ...608...42S,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.36,...,4.7,Cepheids,2004AJ....127.2031K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.36,0.06,4.7,Cepheids,2002A&A...389...19P,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.36,0.08,4.7,Cepheids,2000ApJ...529..723G,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.36,0.09,4.7,Cepheids,1994ApJ...425...14S,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.37,0.13,4.71,Cepheids,2003A&A...411..361K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.37,0.15,4.72,Cepheids,2002A&A...389...19P,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.39,0.07,4.76,Cepheids,2002A&A...389...19P,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.5,0.03,5.01,Cepheids,1997hipp.conf..629P,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.5,0.03,5.01,Cepheids,1997hipp.conf..629P,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.25,0.06,4.47,TRGB,2004ApJ...608...42S,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.54,0.14,5.11,SNIa,2005ApJ...624..532R,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
DDO 165,28.3,0.19,4.57,TRGB,2002A&A...383..125K,06:24.9,+67:42:25.0,120.8,49.4,I..9,169
DDO 165,28.31,...,4.59,TRGB,2006Ap.....49....3K,06:24.9,+67:42:25.0,120.8,49.4,I..9,169
UGC 08215,28.29,...,4.55,TRGB,2006AJ....131.1361K,08:03.6,+46:49:40.9,114.6,70,I..9,296
UGC 08215,28.74,0.39,5.6,BS,1997AstL...23..656G,08:03.6,+46:49:40.9,114.6,70,I..9,296
NGC 4981,31.74,0.24,22.3,Sosies,2002A&A...393...57T,08:48.7,-06:46:39.1,310.6,55.8,SXR4,1596
NGC 4995,32.4,0.2,30.2,Sosies,2002A&A...393...57T,09:40.7,-07:50:00.3,310.8,54.8,SXT3,1676
ESO 576- G 001,34.56,0.12,81.7,Sosies,2002A&A...393...57T,10:23.8,-21:41:02.9,308.8,41,R'_2:)SB(r)bc,2756
ESO 269- G 058,27.9,...,3.8,TRGB,2007AJ....133..504K,10:32.9,-46:59:27.3,306.3,15.8,I.0.P,227
NGC 5005,30.68,0.3,13.7,SNIa,2005ApJ...624..532R,10:56.2,+37:03:33.1,101.6,79.2,SXT4,997
NGC 5005,30.76*,0.25,14.1,SNIa,2006ApJ...645..488W,10:56.2,+37:03:33.1,101.6,79.2,SXT4,997
NGC 5005,31.79,...,22.8,Tully-Fisher,LEDA [April 2006],10:56.2,+37:03:33.1,101.6,79.2,SXT4,997
NGC 5012,32.96,0.16,39.1,Sosies,2002A&A...393...57T,11:37.1,+22:54:55.8,351.4,83.8,SXT5,2630
NGC 5023,28.94,0.05,6.14,TRGB,2006astro.ph..3457T,12:12.6,+44:02:28.4,110.4,72.6,S..6*/,478
NGC 5023,29.1,0.03,6.61,TRGB,2005AJ....129.1331S,12:12.6,+44:02:28.4,110.4,72.6,S..6*/,478
NGC 5023,28.66,...,5.4,BS,1999AstL...25..322S,12:12.6,+44:02:28.4,110.4,72.6,S..6*/,478
NGC 5011,33.11,0.22,41.9,SBF,2001ApJ...546..681T,12:51.9,-43:05:46.4,307.1,19.6,E.1+,2937
NGC 5011,33.22,0.22,44,SBF,2001MNRAS.327.1004B,12:51.9,-43:05:46.4,307.1,19.6,E.1+,2937
NGC 5011,33.15,0.41,42.7,FP,2001MNRAS.327.1004B,12:51.9,-43:05:46.4,307.1,19.6,E.1+,2937
NGC 5018,33.4,0.6,47.9,GCLF,1996A&A...314..357H,13:00.9,-19:31:05.1,309.9,43.1,E.3.*,2673
ESO 269- G 066,27.87,...,3.75,TRGB,2007AJ....133..504K,13:09.2,-44:53:23.8,307,17.8,dE,615
ESO 269- G 066,27.74,...,3.54,SBF,2000AJ....119..166J,13:09.2,-44:53:23.8,307,17.8,DE.2?P,615
ESO 269- G 066,28.04,0.37,4.05,SBF,2000AJ....119..166J,13:09.2,-44:53:23.8,307,17.8,DE.2?P,615
"DDO 167; UGC 08308",28.11,0.26,4.19,TRGB,2003A&A...398..467K,13:22.7,+46:191:3.2,111.6,70.3,I..9,242
"DDO 167; UGC 08308",27.85,...,3.72,BS,1998A&AS..128..325T,13:22.7,+46:191:3.2,111.6,70.3,I..9,242
NGC 5033,30.92,0.09,15.3,Sosies,2002A&A...393...57T,13:27.5,+36:35:38.1,98.1,79.4,SAS5,926
NGC 5033,31.23,...,17.6,Tully-Fisher,LEDA [April 2006],13:27.5,+36:35:38.1,98.1,79.4,SAS5,926
NGC 5033,33.14,...,42.5,SNII rad,1998ApJ...500...51W,13:27.5,+36:35:38.1,98.1,79.4,SAS5,926
CGCG 044-035,36.15*,0.26,166,SNIa,2006ApJ...645..488W,13:49.3,+06:57:45.4,318.7,69.1,S?,7137
"DDO 168; UGC 08320",28.18,0.26,4.33,TRGB,2003A&A...398..467K,14:27.9,+45:55:08.9,110.8,70.7,IB.9,272
"DDO 168; UGC 08320",28.01,...,4,BS,1998A&AS..128..325T,14:27.9,+45:55:08.9,110.8,70.7,IB.9,272
"DDO 168; UGC 08320",28.63,0.39,5.32,BS,1997AstL...23..656G,14:27.9,+45:55:08.9,110.8,70.7,IB.9,272
NGC 5044,32.47,0.28,31.2,SBF,2001ApJ...546..681T,15:23.9,-16:23:07.9,311.2,46.1,E.0,2580
NGC 5044,32.6,0.28,33.1,SBF,2001MNRAS.327.1004B,15:23.9,-16:23:07.9,311.2,46.1,E.0,2580
NGC 5044,32.6,0.41,33.1,FP,2001MNRAS.327.1004B,15:23.9,-16:23:07.9,311.2,46.1,E.0,2580
DDO 169,29.58,...,8.23,BS,1998A&AS..131....1K,15:30.3,+47:29:56.2,111.5,69.1,IA.9,342
NGC 5055,30.07,0.07,10.3,Sosies,2002A&A...393...57T,15:49.3,+42:01:45.4,106,74.3,SAT4,571
NGC 5055,29.99,...,9.95,Tully-Fisher,LEDA [April 2006],15:49.3,+42:01:45.4,106,74.3,SAT4,571
NGC 5051,34.59,0.07,82.8,Sosies,2002A&A...393...57T,16:20.1,-28:17:08.5,309.6,34.3,SXT4*,4370
NGC 5054,30.84,0.23,14.7,Sosies,2002A&A...393...57T,16:58.5,-16:38:05.5,311.7,45.8,SAS4,1630
NGC 5054,32.06,...,25.8,Tully-Fisher,LEDA [April 2006],16:58.5,-16:38:05.5,311.7,45.8,SAS4,1630
IC 4214,32.18,0.42,27.3,Sosies,2002A&A...393...57T,17:42.7,-32:06:06.1,309.4,30.4,PSBR2,2135
NGC 5061,31.96,0.26,24.7,SBF,2001MNRAS.327.1004B,18:05.1,-26:50:14.0,310.3,35.7,E.0,1897
NGC 5061,32.32,0.19,29.1,SBF,2001ApJ...559..584A,18:05.1,-26:50:14.0,310.3,35.7,E.0,1897
NGC 5061,31.97*,0.17,24.6,SNIa,2006ApJ...645..488W,18:05.1,-26:50:14.0,310.3,35.7,E.0,1897
NGC 5061,32.46,0.14,31,SNIa,2005ApJ...624..532R,18:05.1,-26:50:14.0,310.3,35.7,E.0,1897
NGC 5061,30.93,...,15.3,FP,LEDA [April 2006],18:05.1,-26:50:14.0,310.3,35.7,E.0,1897
NGC 5061,31.41,0.41,19.2,FP,2001MNRAS.327.1004B,18:05.1,-26:50:14.0,310.3,35.7,E.0,1897
ESO 269- G 085,31.56,0.16,20.5,Sosies,2002A&A...393...57T,19:58.9,-47:16:54.6,307.9,15.3,SAT5,2681
ESO 576- G 034,34.67,...,86,SNII opt,2003MNRAS.346...97N,20:18.3,-20:08:54.5,312.1,42.2,S/Irr,5877
ESO 576- G 040,31.59*,0.2,20.7,SNIa,2006ApJ...645..488W,20:43.8,-22:03:04.0,311.8,40.3,SB7?P/,1977
[KK98] 195,28.59,...,5.2,TRGB,2003ApJ...596L..47P,21:08.0,-31:31:48.0,310.3,30.9,dw Irr,421
NGC 5090,33.14,0.36,42.4,SBF,2001MNRAS.327.1004B,21:12.8,-43:42:16.4,308.6,18.8,E.2,3222
NGC 5090,33.41,0.41,48,FP,2001MNRAS.327.1004B,21:12.8,-43:42:16.4,308.6,18.8,E.2,3222
CGCG 016-058,35.77*,0.28,138,SNIa,2006ApJ...645..488W,21:30.5,-02:08:44.0,318,59.8,Sa,10324
CGCG 016-058,35.877*,0.036,145,SNIa,2006ApJ...647..501P,21:30.5,-02:08:44.0,318,59.8,Sa,10324
CGCG 016-058,36.01*,0.2,154,SNIa,2004ApJ...607..665R,21:30.5,-02:08:44.0,318,59.8,Sa,10324
CGCG 016-058,36.37,0.14,188,SNIa,2005ApJ...624..532R,21:30.5,-02:08:44.0,318,59.8,Sa,10324
[KK98] 196,28,...,3.98,TRGB,2007AJ....133..504K,21:47.4,-45:03:42.0,308.5,17.5,IB9,574
NGC 5102,27.66,...,3.4,TRGB,2002A&A...385...21K,21:57.7,-36:37:48.8,309.7,25.8,LA.-,316
NGC 5102,27.42,0.26,3.05,PNLF,2002ApJ...577...31C,21:57.7,-36:37:48.8,309.7,25.8,LA.-,316
NGC 5102,27.47,0.27,3.1,PNLF,1994AJ....108.1610M,21:57.7,-36:37:48.8,309.7,25.8,LA.-,316
NGC 5102,28.01,0.13,4,SBF,2001ApJ...546..681T,21:57.7,-36:37:48.8,309.7,25.8,LA.-,316
NGC 5102,27.19,...,2.74,FP,LEDA [April 2006],21:57.7,-36:37:48.8,309.7,25.8,LA.-,316
MCG -03-34-063,34.61,0.22,83.6,Sosies,2002A&A...393...57T,22:19.1,-16:42:30.1,313.5,45.5,SBb,4855
IC 4232,35.431*,0.049,118,SNIa,2006ApJ...647..501P,23:22.5,-26:06:34.2,311.8,36.2,S..4*P,9146
IC 4232,35.54*,0.2,124,SNIa,2004ApJ...607..665R,23:22.5,-26:06:34.2,311.8,36.2,S..4*P,9146
IC 4232,35.79,0.14,144,SNIa,2005ApJ...624..532R,23:22.5,-26:06:34.2,311.8,36.2,S..4*P,9146
ESO 508- G 067,35.06*,0.24,100,SNIa,2004ApJ...607..665R,24:10.5,-23:52:38.5,312.5,38.4,S...?,7568
ESO 508- G 067,35.08*,0.27,101,SNIa,2006ApJ...645..488W,24:10.5,-23:52:38.5,312.5,38.4,S...?,7568
ESO 508- G 067,35.092*,0.103,102,SNIa,2006ApJ...647..501P,24:10.5,-23:52:38.5,312.5,38.4,S...?,7568
ESO 508- G 067,35.19,0.14,109,SNIa,2005ApJ...624..532R,24:10.5,-23:52:38.5,312.5,38.4,S...?,7568
ESO 508- G 067,35.353*,0.094,115,SNIa,2006A&A...447...31A,24:10.5,-23:52:38.5,312.5,38.4,S...?,7568
IC 4237,32.22,0.26,27.8,Sosies,2002A&A...393...57T,24:32.8,-21:08:12.6,313.2,41.1,SBR3$,2525
"[KK98] 200; AM 1321-304",28.31,...,4.6,TRGB,2002A&A...385...21K,24:36.2,-30:58:18.5,311.3,31.4,dw Im,348
NGC 5145,33.7,1.01,55,Sosies,2002A&A...393...57T,25:13.9,+43:16:02.2,102.1,72.5,S?,1299
NGC 5128,27.67,0.12,3.42,Cepheids,2006astro.ph..5707F,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,27.8,0.2,3.6,TRGB,1996ApJ...465...79S,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,27.92,0.19,3.8,TRGB,2004A&A...413..903R,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,28.06,...,4.1,TRGB,2006AstL...32..236K,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,27.64,0.09,3.37,PNLF,2002ApJ...577...31C,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,27.72,0.02,3.5,PNLF,1993ApJ...414..463H,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,28.12,0.14,4.21,SBF,2001ApJ...559..584A,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,28.12,0.14,4.21,SBF,2001ApJ...546..681T,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,28.20*,0.19,4.36,SNIa,2006ApJ...645..488W,25:27.6,-43:01:08.8,309.5,19.4,L...P,398
NGC 5128,26.01,...,1.59,FP,LEDA [April 2006],25:27.6,-43:01:08.8,309.5,19.4,L...P,398
IC 4247,28.48,...,4.97,TRGB,2007AJ....133..504K,26:44.4,-30:21:44.7,311.9,31.9,S?,269
ESO 324- G 024,27.84,...,3.7,TRGB,2002A&A...385...21K,27:37.4,-41:28:50.4,310.2,20.9,IX.9*,357
NGC 5152,34.69,0.62,86.7,Sosies,2002A&A...393...57T,27:51.1,-29:37:07.0,312.3,32.6,SBS3,4321
NGC 5161,31.72,0.1,22.1,Sosies,2002A&A...393...57T,29:13.9,-33:10:25.8,312,29,SAS5*,2247
NGC 5161,31.58,...,20.7,Tully-Fisher,2003astro.ph.10284R,29:13.9,-33:10:25.8,312,29,SAS5*,2247
NGC 5161,31.81,...,23,Tully-Fisher,2003astro.ph.10284R,29:13.9,-33:10:25.8,312,29,SAS5*,2247
NGC 5204,28.34,0.27,4.65,TRGB,2003A&A...398..467K,29:36.5,+58:25:07.4,113.5,58,SAS9,320
NGC 5204,28.06,...,4.1,BS,2000A&AS..142..425D,29:36.5,+58:25:07.4,113.5,58,SAS9,320
NGC 5204,28.69,...,5.47,Tully-Fisher,LEDA [April 2006],29:36.5,+58:25:07.4,113.5,58,SAS9,320
NGC 5170,31.76,0.23,22.5,GCLF,2000ApJS..128..431F,29:48.8,-17:57:59.4,315.7,44,SAS5*/,1396
NGC 5170,32.3,0.3,28.8,GCLF,1990PASP..102....5F,29:48.8,-17:57:59.4,315.7,44,SAS5*/,1396
"M51; NGC 5194",29.41,0.12,7.62,PNLF,2002ApJ...577...31C,29:52.7,+47:11:42.6,104.9,68.6,SAS4P,551
"M51; NGC 5194",29.62,0.15,8.4,PNLF,1997ApJ...479..231F,29:52.7,+47:11:42.6,104.9,68.6,SAS4P,551
"M51; NGC 5194",29.42,0.27,7.66,SBF,2001ApJ...546..681T,29:52.7,+47:11:42.6,104.9,68.6,SAS4P,551
"M51; NGC 5194",28.84,...,5.86,Tully-Fisher,LEDA [Nove 2006],29:52.7,+47:11:42.6,104.9,68.6,SAS4P,551
"M51; NGC 5194",29.57,...,8.2,HII,2005JKAS...38....7I,29:52.7,+47:11:42.6,104.9,68.6,SAS4P,551
"M51; NGC 5194",29.02,...,6.36,SNII optical,2006MNRAS.tmp.1121T,29:52.7,+47:11:42.6,104.9,68.6,SAS4P,551
"M51; NGC 5194",29.4,...,7.59,SNII optical,2006MNRAS.tmp.1121T,29:52.7,+47:11:42.6,104.9,68.6,SAS4P,551
"M51; NGC 5194",29.67,...,8.6,GC Radii,2006astro.ph..5022S,29:52.7,+47:11:42.6,104.9,68.6,SAS4P,551
NGC 5184,33.89,0.12,60,Sosies,2002A&A...393...57T,30:11.5,-01:39:47.3,322.4,59.7,SXR5,3928
UGC 08508,27.04,0.13,2.56,TRGB,2002A&A...389..812K,30:44.4,+54:54:36.0,111.1,61.3,IA.9,171
[HM93] 132819-3257.6,36.64*,0.19,202,SNIa,2006ApJ...645..488W,31:08.9,-33:12:57.6,312.4,28.9,E5/S01,15043
[HM93] 132819-3257.6,36.801*,0.036,218,SNIa,2006ApJ...647..501P,31:08.9,-33:12:57.6,312.4,28.9,E5/S01,15043
[HM93] 132819-3257.6,36.794*,0.047,236,SNIa,2006A&A...447...31A,31:08.9,-33:12:57.6,312.4,28.9,E5/S01,15043
[HM93] 132819-3257.6,37.16*,0.18,257,SNIa,2004ApJ...607..665R,31:08.9,-33:12:57.6,312.4,28.9,E5/S01,15043
[HM93] 132819-3257.6,37.21,0.14,277,SNIa,2005ApJ...624..532R,31:08.9,-33:12:57.6,312.4,28.9,E5/S01,15043
"NGC 5193; Abell 3560",33.41,0.25,48.1,GCLF,1998ApJ...499..577L,31:53.5,-33:14:03.8,312.6,28.9,E...P*,3547
"NGC 5193; Abell 3560",34.24,0.18,70.5,GCLF,2002ApJ...567..294O,31:53.5,-33:14:03.8,312.6,28.9,E...P*,3547
"NGC 5193; Abell 3560",32.66,0.29,34,SBF,2001ApJ...546..681T,31:53.5,-33:14:03.8,312.6,28.9,E...P*,3547
"NGC 5193; Abell 3560",32.82,0.29,36.7,SBF,2001MNRAS.327.1004B,31:53.5,-33:14:03.8,312.6,28.9,E...P*,3547
"NGC 5193; Abell 3560",33.35,0.15,46.8,SBF,2003ApJ...583..712J,31:53.5,-33:14:03.8,312.6,28.9,E...P*,3547
"NGC 5193; Abell 3560",33.35,0.14,46.8,SBF,1998ApJ...499..577L,31:53.5,-33:14:03.8,312.6,28.9,E...P*,3547
"NGC 5193; Abell 3560",33.46,0.41,49.2,FP,2001MNRAS.327.1004B,31:53.5,-33:14:03.8,312.6,28.9,E...P*,3547
NGC 5218,33.53,0.33,50.8,Sosies,2002A&A...393...57T,32:10.4,+62:46:03.9,115.1,53.7,SBS3$P,2935
NGC 5229,28.55,...,5.13,BS,1999AstL...25..322S,34:02.8,+47:54:55.6,103.9,67.6,SBS7?/,455
NGC 5238,28.57,0.2,5.18,BS,1998A&AS..133..181M,34:42.5,+51:36:49.3,107.4,64.2,SXS8,334
ESO 383- G 032,34.931*,0.091,94.7,SNIa,2006A&A...447...31A,35:22.7,-34:09:34.5,313.2,27.8,RS..4*,7067
ESO 383- G 032,35.03*,0.19,99.1,SNIa,2006ApJ...645..488W,35:22.7,-34:09:34.5,313.2,27.8,RS..4*,7067
ESO 383- G 032,35.092*,0.017,102,SNIa,2006ApJ...647..501P,35:22.7,-34:09:34.5,313.2,27.8,RS..4*,7067
UGCA 365,28.57,...,5.18,TRGB,2007AJ....133..504K,36:31.1,-29:14:05.6,314.6,32.6,I9,440
[KK98] 208,28.35,...,4.68,TRGB,2002A&A...385...21K,36:35.5,-29:34:17.0,314.5,32.3,dw Irr,249
"IC 4296; Abell 3565",33.97,0.16,62.2,GCLF,2002ApJ...567..294O,36:39.1,-33:57:57.2,313.5,28,E,3621
"IC 4296; Abell 3565",34.01,0.25,63.4,GCLF,1998ApJ...499..577L,36:39.1,-33:57:57.2,313.5,28,E,3621
"IC 4296; Abell 3565",33.32,0.24,46,SBF,2001MNRAS.327.1004B,36:39.1,-33:57:57.2,313.5,28,E,3621
"IC 4296; Abell 3565",33.47,0.13,49.4,SBF,1998ApJ...499..577L,36:39.1,-33:57:57.2,313.5,28,E,3621
"IC 4296; Abell 3565",33.53,0.16,50.8,SBF,2003ApJ...583..712J,36:39.1,-33:57:57.2,313.5,28,E,3621
"IC 4296; Abell 3565",33.57,0.41,51.8,FP,2001MNRAS.327.1004B,36:39.1,-33:57:57.2,313.5,28,E,3621
HIDEEP J1336-3321,28.27,...,4.5,TRGB,2004ASPC..327..324G,36:56.0,-33:21:24.0,313.7,28.6,,451
"M83; NGC 5236",28.25,0.15,4.5,Cepheids,2003ApJ...590..256T,37:00.9,-29:51:56.7,314.6,32,SXS5,384
"M83; NGC 5236",28.32,0.13,4.61,Cepheids,2006ApJS..165..108S,37:00.9,-29:51:56.7,314.6,32,SXS5,384
"M83; NGC 5236",28.27,0.15,4.51,TRGB,2002A&A...385...21K,37:00.9,-29:51:56.7,314.6,32,SXS5,384
"M83; NGC 5236",28.97,...,6.22,Tully-Fisher,LEDA [April 2006],37:00.9,-29:51:56.7,314.6,32,SXS5,384
"M83; NGC 5236",28.27,...,4.5,SNII opt,1996ApJ...466..911E,37:00.9,-29:51:56.7,314.6,32,SXS5,384
ESO 444- G 084,28.31,...,4.6,TRGB,2002A&A...385...21K,37:19.9,-28:02:42.0,315.1,33.7,I..9,460
HIPASS J1337-39,28.45,...,4.9,TRGB,2004ASPC..327..324G,37:30.0,-39:52:54.0,312.5,22.1,Im,516
NGC 5237,27.66,...,3.4,TRGB,2007AJ....133..504K,37:39.1,-42:50:49.1,311.9,19.2,I0?,213
UGC 08638,28.15,...,4.27,TRGB,2006AJ....131.1361K,39:19.4,+24:46:32.1,23.3,79,I..9,300
UGC 08638,26.77,...,2.3,BS,1998A&AS..128..459M,39:19.4,+24:46:32.1,23.3,79,I..9,300
NGC 5254,32.33,0.11,29.2,Sosies,2002A&A...393...57T,39:37.9,-11:29:37.9,321.3,49.6,SAT5*,2234
"DDO 181; UGC 08651",27.39,0.21,3.01,TRGB,2002A&A...389..812K,39:53.8,+40:44:20.7,89.7,73.1,I..9,277
"DDO 181; UGC 08651",27.66,...,3.4,BS,1998A&AS..128..459M,39:53.8,+40:44:20.7,89.7,73.1,I..9,277
NGC 5253,27.39,0.18,3.01,Cepheids,2002A&A...389...19P,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.4,0.15,3.02,Cepheids,1997ApJ...491...13K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.42,0.12,3.04,Cepheids,2001ApJ...547L.103G,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.48,0.34,3.13,Cepheids,2002A&A...389...19P,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.49,0.12,3.14,Cepheids,2001ApJ...547L.103G,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.49,0.14,3.15,Cepheids,2001ApJ...553...47F,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.53,0.14,3.21,Cepheids,2002A&A...389...19P,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.53,0.17,3.21,Cepheids,2001ApJ...548..564W,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.56,0.14,3.25,Cepheids,2001ApJ...553...47F,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.57,0.13,3.27,Cepheids,1997ApJ...491...13K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.61,0.11,3.33,Cepheids,2000ApJ...529..723G,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.63,0.14,3.36,Cepheids,2004ApJ...608...42S,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.78,0.24,3.59,Cepheids,2003A&A...411..361K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.83,0.24,3.69,Cepheids,2003A&A...411..361K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.85,0.24,3.71,Cepheids,2003A&A...411..361K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.85,0.25,3.72,Cepheids,2003A&A...411..361K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.87,0.25,3.75,Cepheids,2003A&A...411..361K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.87,0.25,3.75,Cepheids,2003A&A...411..361K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.88,0.24,3.77,Cepheids,2003A&A...411..361K,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.96,0.05,3.91,Cepheids,1997hipp.conf..629P,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,28,0.05,3.98,Cepheids,1997hipp.conf..629P,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,28.04,0.26,4.06,Cepheids,2003ApJ...590..256T,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,28.05,0.27,4.07,Cepheids,2006ApJS..165..108S,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,28.08,0.34,4.13,Cepheids,2000ApJ...529..723G,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,28.08,0.1,4.13,Cepheids,1995ApJ...438....8S,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,28.09,0.1,4.15,Cepheids,1994ApJ...423L..13S,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,27.88,0.11,3.77,TRGB,2004ApJ...608...42S,39:56.0,-31:38:24.4,314.9,30.1,P,271
NGC 5253,28.1,0.5,4.17,PNLF,1992AAS...180.1304P,39:55.9,-31:38:24.4,314.9,30.1,P,271
NGC 5253,28.04,0.14,4.06,SNIa,2005ApJ...624..532R,39:55.9,-31:38:24.4,314.9,30.1,P,271
NGC 5253,25.88,...,1.5,Tully-Fisher,LEDA [April 2006],39:56.0,-31:38:24.4,314.9,30.1,P,271
IC 4316,28.22,...,4.41,TRGB,2002A&A...385...21K,40:18.4,-28:53:32.0,315.7,32.8,IB.9?P,547
NGC 5264,28.27,...,4.5,TRGB,2002A&A...385...21K,41:36.7,-29:54:47.1,315.7,31.7,IBS9,349
NGC 5273,30.93,0.26,15.3,SBF,2003ApJ...583..712J,42:08.3,+35:39:15.2,74.3,76.2,LAS0,1115
NGC 5273,31.09,0.26,16.5,SBF,2001ApJ...546..681T,42:08.3,+35:39:15.2,74.3,76.2,LAS0,1115
ESO 325- G 011,27.66,...,3.4,TRGB,2002A&A...385...21K,45:00.5,-41:51:40.0,313.5,19.9,IBS9,390
NGC 5308,32.55,0.21,32.4,SBF,2001ApJ...559..584A,47:00.4,+60:58:23.1,111.2,54.9,L..-./,2169
NGC 5308,32.33*,0.28,29,SNIa,2006ApJ...645..488W,47:00.4,+60:58:23.1,111.2,54.9,L..-./,2169
NGC 5308,32.77,0.14,35.8,SNIa,2005ApJ...624..532R,47:00.4,+60:58:23.1,111.2,54.9,L..-./,2169
"IC 4330; ESO 445- G 027",34.76,0.29,89.5,Tully-Fisher,2005Ap&SS.299..387R,47:14.9,-28:19:54.5,317.6,32.9,SBT5,11371
HIPASS J1348-37,28.8,...,5.75,TRGB,2007AJ....133..504K,48:47.0,-37:58:28.6,315.2,23.5,,429
NGC 5322,32.47,0.23,31.2,SBF,2001ApJ...546..681T,49:15.2,+60:11:25.5,110.3,55.5,E.3+,2043
NGC 5322,32.56,0.23,32.6,SBF,2001MNRAS.327.1004B,49:15.2,+60:11:25.5,110.3,55.5,E.3+,2043
NGC 5322,32.6,0.15,33.1,SBF,2006MSAIS...9..305C,49:15.2,+60:11:25.5,110.3,55.5,E.3+,2043
NGC 5322,31.52,...,20.1,FP,LEDA [April 2006],49:15.2,+60:11:25.5,110.3,55.5,E.3+,2043
NGC 5322,32,0.41,25.2,FP,2001MNRAS.327.1004B,49:15.2,+60:11:25.5,110.3,55.5,E.3+,2043
ESO 383- G 087,27.69,...,3.45,TRGB,2007AJ....133..504K,49:17.8,-36:03:41.5,315.8,25.4,SBS8,191
ESO 383- G 087,26.69,...,2.18,Tully-Fisher,LEDA (Oct 2006),49:17.8,-36:03:41.5,315.8,25.4,SBS8,191
MCG +08-25-047,35.64*,0.23,131,SNIa,2006ApJ...645..488W,50:48.8,+49:18:46.1,99.6,65,Sa,8087
